"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1472300","1","72","VICTORIA NILE","OWEN RESERVOIR","UG","0.47","33.12","269000","-999","","","","","1973","1982","10","0","1973","1982","10","1176.158","37.09131869","137.8859431"
"1472305","1","72","VICTORIA NILE","JINJA","UG","0.43","33.2","-999","-999","","","","","1946","1970","25","0","1946","1970","25","909.073","28.66852613","n.a."
"1472500","1","72","MANAFWA","BULUCHEKE/BUTALEJA","UG","1","34.35","65","1100","","","","","1976","1979","4","0","1976","1979","4","5.681","0.179156016","2756.2464"
"1473050","1","73","ALBERT NILE","PANYANGO","UG","2.65","31.65","-999","-999","","","","","1948","1970","23","0","1948","1970","23","1079.648","34.04777933","n.a."
"1491100","1","91","DEKA","DEKA GOURLAY BLOCK FLUME (63351265)","ZW","-18.383333","26.316667","2138","-999","1973","1990","18","1.439682277","1973","1980","8","0","1973","1990","18","1.61","0.05077296","23.74787652"
"1491110","1","91","INYANTUE","INYANTUE FLUME (63351166)","ZW","-18.4","26.766667","869","-999","1974","1989","16","0.894323782","","","","","1974","1989","16","0.271","0.008546256","9.834586881"
"1491150","1","91","LUKOSI","VICTORIA FALLS ROAD (63351152)","ZW","-18.4","26.6","1887","-999","1969","1990","22","0.117340287","1969","1980","12","0.757575758","1969","1990","22","1.717","0.054147312","28.69491892"
"1491200","1","91","GWAYI","KAMATIVI G/W","ZW","-18.37","27.05","38600","-999","","","","","1955","1984","30","0","1955","1984","30","23.587","0.743839632","19.27045679"
"1491210","1","91","GWAYI","DAHLIA CONTROL SECTION (63351138)","ZW","-18.6","27.166667","20371","-999","1966","1990","25","9.867670545","1966","1980","15","8.333333333","1966","1990","25","6.643","0.209493648","10.28391576"
"1491220","1","91","KANA","JAPIWA DIP G/W (63351137)","ZW","-18.566667","27.55","1447","-999","1964","1990","27","4.033277169","1966","1980","15","0","1964","1990","27","0.776","0.024471936","16.91218798"
"1491225","1","91","TSHONGOKWE","KANA ROAD G/W (63351141)","ZW","-18.666667","27.566667","390","-999","1965","1990","26","8.345197678","","","","","1965","1990","26","0.201","0.006338736","16.25316923"
"1491230","1","91","BUBI","LUPANE G/W (63351139)","ZW","-18.95","27.766667","4080","-999","1964","1990","27","14.12173547","1966","1980","15","2.259887006","1964","1990","27","0.595","0.01876392","4.599"
"1491240","1","91","KAME","PORTER G/W","ZW","-19.85","28.02","1410","-999","","","","","1967","1980","14","0.606060606","1967","1980","14","0.82","0.02585952","18.34008511"
"1491241","1","91","KAME","SLIGHTS WEIR (63351108)","ZW","-20.083333","28.533333","481","-999","1953","1990","38","7.540328548","","","","","1953","1990","38","0.186","0.005865696","12.19479418"
"1491250","1","91","SHANGANI","SIR G.HUGGINS BRIDGE FLUME","ZW","-18.92","28.87","5900","-999","","","","","1960","1980","21","5","1960","1980","21","4.774","0.150552864","25.51743458"
"1491251","1","91","SHANGANI","LOWER RAILWAY WEIR (63351120)","ZW","-19.75","29.416667","310","-999","1955","1990","36","8.635794743","","","","","1955","1990","36","0.593","0.018700848","60.32531613"
"1491252","1","91","SHANGANI","TIYABENZI DAM U/S (63351161)","ZW","-19.65","29.366667","624","-999","1971","1990","20","5.547550432","","","","","1971","1990","20","0.475","0.0149796","24.00576923"
"1491255","1","91","TIYABENZI","TIYABENZI DAM U/S (63351160)","ZW","-19.616667","29.4","117","-999","1971","1990","20","11.0518732","","","","","1971","1990","20","0.129","0.004068144","34.77046154"
"1491260","1","91","GWERU","GWERU RIVER CAUSEWAY (63351113)","ZW","-18.716667","28.8","4201","-999","1952","1989","38","10.38182625","","","","","1952","1989","38","4.359","0.137465424","32.72207189"
"1491480","1","91","KWE KWE","CACTUS POORT DAM U/S G/W","ZW","-19.07","29.82","1217","-999","","","","","1950","1980","31","0","1950","1980","31","1.897","0.059823792","49.15677239"
"1491485","1","91","KWE KWE","CACTUS POORT DAM D/S G/W","ZW","-19.05","29.78","1250","-999","","","","","1961","1980","20","5.485232068","1961","1980","20","1.828","0.057647808","46.1182464"
"1491500","1","91","MUNYATI","POWER STATION WEIR","ZW","-18.65","29.78","5890","-999","","","","","1950","1980","31","9.756097561","1950","1980","31","11.042","0.348220512","59.12063022"
"1491510","1","91","SEBAKWE","SEBAKWE DAM D/S G/W (63341047)","ZW","-19.066667","30.35","1622","-999","1962","1990","29","4.03091674","1954","1980","27","0","1954","1990","37","3.17","0.09996912","61.63324291"
"1491511","1","91","SEBAKWE","CHIVHU G/W (63341033)","ZW","-19.083333","30.9","212","-999","1983","1990","8","5.866249511","","","","","1983","1990","8","0.295","0.00930312","43.88264151"
"1491520","1","91","WERIWEDZI","SEBAKWE DAM U/S G/W (63341039)","ZW","-19.05","30.283333","16","-999","1959","1989","31","4.900529294","","","","","1959","1989","31","0.071","0.002239056","139.941"
"1491530","1","91","CHIMACHI","SEBAKWE DAM U/S G/W (63341042)","ZW","-19.033333","30.333333","41","-999","1957","1989","33","16.40143737","","","","","1957","1989","33","0.09","0.00283824","69.22536585"
"1491540","1","91","UMVUMA","SEBAKWE DAM U/S G/W (63341041)","ZW","-19","30.35","872","-999","1962","1990","29","0.303119194","","","","","1962","1990","29","2.003","0.063166608","72.43877064"
"1491550","1","91","UMSWESWE","CLAW DAM U/S FLUME","ZW","-18.45","29.87","2990","-999","","","","","1974","1980","7","0","1974","1980","7","4.521","0.142574256","47.68369766"
"1491555","1","91","UMSWESWE","CLAW DAM U/S FLUME (63341087)","ZW","-18.45","29.983333","1984","-999","1976","1990","15","9.0749071","","","","","1976","1990","15","3.974","0.125324064","63.16737097"
"1491580","1","91","UMFULI","TWYFORD WEIR","ZW","-18.12","30.22","5180","-999","","","","","1950","1979","30","0","1950","1979","30","15.214","0.479788704","92.62330193"
"1491585","1","91","MUPFURE","TWYFORD WEIR (63341012)","ZW","-18.116667","30.216667","5307","-999","1950","1990","41","8.062970568","","","","","1950","1990","41","12.678","0.399813408","75.33699039"
"1491586","1","91","MUPFURE","BEATRICE G/W (63341070)","ZW","-18.25","30.766667","2221","-999","1969","1990","22","1.395045632","","","","","1969","1990","22","3.775","0.1190484","53.60126069"
"1491590","1","91","MUNYATI","COPPER QUEEN C/S (63341059)","ZW","-17.5","29.4","37300","-999","1955","1987","33","22.08247775","","","","","1955","1987","33","68.53","2.16116208","57.94000214"
